perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
EBF2,0.1359667771318876,0.041048147367787,0.1344535747862842,0.0997838413424574,0.1527956318110457,0.0617976046054454,0.1344510248510502,0.1150692588177469,0.1348924334530506,0.0925002467007794,ElasticNet,ElasticNet
SNAI1,0.1556285594526894,0.0797174354076759,0.1553481658183132,0.080419073283623,0.178297891530189,0.0901006684358215,0.1549963821024406,0.1131218133974043,0.1543457817693018,0.1438593179487849,ElasticNet_1024,ElasticNet_1024
PROX1,0.13933914255661,0.0831267882916836,0.1386762075894829,0.1028711634184861,0.1562691278558217,0.0331586498739187,0.1385444877447331,0.1113425865582605,0.1388832890273432,0.0828015970920187,ElasticNet,ElasticNet
AFF1,0.1004801748896297,0.0678091342800549,0.0999414497367589,0.0939075741448997,0.1100988428707897,0.0766643295354057,0.0996516106083826,0.1096829269325909,0.0994182461317113,0.1329901383415905,ElasticNet_1024,ElasticNet_1024
HES5,0.1010773786133118,0.0705175214612562,0.1005682489650278,0.1066177388866609,0.11576191537559,0.0440666187547624,0.1004373814764639,0.1090141204539654,0.1007575818189821,0.087386319551028,ElasticNet,ElasticNet
NOTO,0.1268331526932582,0.0655437467456646,0.1264005217368629,0.0740063016094332,0.1499868437010924,0.0296274153612918,0.1261504935356276,0.1077932472150087,0.1259608328660738,0.1196387906100362,ElasticNet_1024,ElasticNet_1024
NR2F2,0.1436018361684598,0.1104087461642331,0.143662893303259,0.0972246171216134,0.1720642079255707,0.0671045466859754,0.143588087359545,0.1070608228001713,0.1434182568520274,0.1205223023470939,ElasticNet_1024,ElasticNet_1024
ZNF136,0.1732964860400258,0.0544104127059353,0.1726505650972667,0.0803547416561402,0.1948533804124686,0.0314497710263507,0.172350775678421,0.1044697947613841,0.1728532766059184,0.0759492292518179,ElasticNet,ElasticNet
CEBPA,0.2219936487697696,0.0654740803373178,0.2216756111441341,0.0583948485584717,0.2455588422535964,-0.0140823458654107,0.2204882433316404,0.1031162432443987,0.2209556022696948,0.0781544907157578,ElasticNet,ElasticNet
MKX,0.1375542352635941,0.0759584766944239,0.1372126594654275,0.0890609468168774,0.1553978849891172,0.0727626513467867,0.137156022228672,0.1028617094938101,0.1362210221243066,0.1495086965279182,ElasticNet_1024,ElasticNet_1024
LYL1,0.1477488839825119,0.0420665806339068,0.1470115534360926,0.0496163720692966,0.1762363074961798,0.0567462358174208,0.1464129641984198,0.1022326923172824,0.1469460600158312,0.0586898898618504,ElasticNet,ElasticNet
GSC,0.1858107663038274,0.0881843177449668,0.1856199293903901,0.0934613926167416,0.2141420792378665,-0.0065400754501608,0.1853085197484796,0.1021641192734568,0.1845291680799146,0.1369091442758968,ElasticNet_1024,ElasticNet_1024
SOX11,0.2757292163729794,0.0739712233836976,0.2747570814027064,0.0927720199980561,0.2910984678821517,0.0836631261464828,0.2745006602489875,0.1000471384425613,0.2751597693412158,0.0701810604316187,ElasticNet,ElasticNet
INSM2,0.2003371026554814,0.1083971351144494,0.1998779502859642,0.1239978877203336,0.2235967822847385,0.0553137722142012,0.2001811312098217,0.0985867113860128,0.1999319898848996,0.1218685852790406,XGBoost,XGBoost
BARX1,0.2096375194273932,0.0390410584526665,0.2083698046212306,0.0364863210018986,0.2361368462593483,0.0723996819437252,0.2076569482435291,0.097741751406589,0.207585029084255,0.1023740277508081,ElasticNet_1024,ElasticNet_1024
JUN,0.1384761465757905,0.0765806048077059,0.1380500040322017,0.0693140826667556,0.1639555538367381,0.0820859797619544,0.1379888096834016,0.0973734891864576,0.1377250556796174,0.114184005278705,ElasticNet_1024,ElasticNet_1024
CDX2,0.1678097470968203,0.0749000976173974,0.1683580285319535,0.0179080402309917,0.1917950559735116,0.0941621456752705,0.166766462538009,0.097015106968563,0.1665476987319668,0.1106025876663256,ElasticNet_1024,ElasticNet_1024
PHOX2A,0.1467895334785563,0.0531274686097762,0.146480252152955,0.0507909598943276,0.1670560147346263,0.0430254254738086,0.1459874945952652,0.0953874448346431,0.1455303752096102,0.1242834797582222,ElasticNet_1024,ElasticNet_1024
