perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
HNF1B,0.3067151861592747,0.0281377059472159,0.3054791632155502,0.0746716906328708,0.3132561521491721,-0.0038149005698341,0.3050967176496292,0.0538530824939379,0.3055251459437584,-0.0197022086804356,-0.0735552911743735,-0.0004284282941292017
HNRNPAB,0.4615622814337535,0.0273477997267129,0.4590915858165115,0.0605984677254239,0.478306710079083,-0.0335999582381075,0.4590937842378088,0.06277282042387,0.4594442773520258,0.0419413212141381,-0.020831499209731902,-0.000350493114217032
HOXA13,0.2870608395358337,0.0435355456683211,0.2853226210723726,0.0287482247338403,0.2694580025499862,0.0588461467792597,0.2851164077269418,0.0571276742071492,0.285492539152633,0.0146427564167612,-0.042484917790387995,-0.0003761314256912063
HOXC13,0.2667404967742248,0.0215451455241835,0.2657872762420809,0.016703058053825,0.2856044906453325,0.0323054156444196,0.2656638613742582,-0.0079701690064056,0.2657055150254182,-0.0130080241023013,-0.0050378550958957,-4.165365116004516e-05
HOXC9,0.1989470991746301,-0.0098985467289797,0.1985542437553778,-0.0427211168137486,0.2023364521929364,-0.0222627113835297,0.1966885867223354,-0.0374118192372008,0.1966688448474064,0.026052432507362,0.0634642517445628,1.974187492900792e-05
IFI16,0.142492823995469,0.1291354458520737,0.138427527888248,0.107495285055078,0.1438419304484923,-0.0026112033061963,0.1373014076592054,0.1369669709253754,0.137239551541699,0.146012997697714,0.009046026772338595,6.185611750639253e-05
IKZF2,0.1553565489093303,0.0218644734777321,0.1547049237946714,0.0411451297230062,0.1722109949972469,0.0124303430257754,0.1548903484880494,-0.0063521628802787,0.1547667381757408,0.0581858962244795,0.0645380591047582,0.00012361031230859187
IKZF5,0.2214575194513132,0.0566247474186667,0.2206321836079971,0.0675704022208954,0.2361269206395207,-0.0160382693438102,0.2208386966186875,0.0620370396058526,0.220711869018925,0.0841715202171623,0.022134480611309702,0.0001268275997624857
INSM2,0.2021621454531331,0.0370551727017391,0.2008607061125785,0.0717631327413837,0.2070054237999071,0.0479958620962529,0.2013308481804418,0.0601890249271957,0.20145377918679,0.0365569257947602,-0.023632099132435504,-0.00012293100634819254
IRF1,0.2103632527417106,0.0619752613724181,0.2097345250679533,0.072106091194956,0.2362731709650309,0.0132749907350173,0.2073076540737607,-0.0151648454785537,0.2073827070538024,0.0170924714256888,0.0322573169042425,-7.505298004170657e-05
IRF4,0.1911320619603081,0.0333254670466451,0.1882246384564315,0.0402085503107257,0.1982264637294106,-0.005397749993698,0.1857454177606656,0.0557608791539308,0.1859600544225018,-0.0204871309909478,-0.0762480101448786,-0.00021463666183618724
IRX3,0.1565122152379871,0.0140830238733567,0.1558588501918076,0.0262281670749376,0.1741718922260494,0.0255758808801931,0.1558526396495466,0.0255738634907808,0.155875950969314,,,-2.331131976740508e-05
JDP2,0.1437989384633273,0.0125053021517176,0.1416977782787801,0.0221857525717705,0.1413163648756268,0.0332931518435384,0.141084796974733,-0.0189624806129643,0.1410627210918274,-0.0034541983426522,0.0155082822703121,2.207588290559226e-05
JUN,0.139115138420647,0.0120559805533081,0.138672901224943,0.0076322617444096,0.1592807006790699,0.0415367128956014,0.1385783168107116,0.0170495666957861,0.1385831144706942,0.0005188916776994,-0.0165306750180867,-4.7976599826249355e-06
JUNB,0.2779785896696342,0.0385253742087079,0.2764610769326115,0.0427424342553899,0.2850377079730097,-0.0252447035023967,0.2765154179303546,0.0590573387534921,0.2767672873557916,0.0384302064191102,-0.020627132334381904,-0.0002518694254369791
KLF15,0.1274059910767855,0.067829721885996,0.1262597791120112,0.0996415787703393,0.1430808861986333,0.0424019593711831,0.1262547052658986,0.0984121934602436,0.1262536937076122,0.1119054344078311,0.013493240947587498,1.0115582864123063e-06
KLF16,0.1201054504938337,0.0152123939093187,0.1195644673192039,0.0180137203848359,0.1273939988627251,0.0665946741436716,0.1196247552982382,0.0095187006602908,0.1195176684667212,-0.0142555435689563,-0.0237742442292471,0.00010708683151700038
KLF2,0.1756128902972195,0.0309348005578763,0.1750911390056354,0.0393565748988306,0.1919185542585561,0.0553883035444041,0.1750202912369388,0.0410054586490702,0.1751440838818538,0.0224927363233804,-0.0185127223256898,-0.00012379264491499398
KLF3,0.1244861599675312,0.0408577449365391,0.1239854676618439,0.0228219630280898,0.1365229589283813,0.0154753855352197,0.1238723235981978,0.0269173341523656,0.1238803209836556,-0.0407554615877508,-0.06767279574011639,-7.997385457800266e-06
KLF5,0.1555789912464497,0.0086447479069834,0.1541735614901152,0.0105902743200065,0.1625869221383133,0.0520562701448981,0.1538756028637582,-0.0170215833180694,0.1538325104887236,0.0307059057067678,0.0477274890248372,4.3092375034609054e-05
KLF8,0.1087688037378515,0.0683413846991415,0.1083771409874556,0.0476367357444914,0.1175549992526993,-0.0220077641586689,0.1085055818847938,0.0372567646527958,0.1084861409685669,0.0485615903986509,0.011304825745855097,1.9440916226895477e-05
LBX1,0.2155789567009917,0.038377368511564,0.21478994983715,0.0352498517598796,0.2350945768959242,0.0067577775604384,0.2146954386189568,0.0141368046033195,0.2147089498575386,-0.0077109627288423,-0.0218477673321618,-1.35112385818148e-05
LHX2,0.1125583997403603,0.0661054173749795,0.112232845098475,0.0675411064589502,0.13411466898247,0.0186009076186899,0.1120213642577774,0.0875863082220241,0.1119775891706128,0.0919623056340249,0.004375997412000801,4.377508716459089e-05
LHX4,0.1244455684763518,-0.011396449261362,0.1236332741538761,-0.0112186750565846,0.1463361000918564,0.0128638348373465,0.1234941746647096,0.0106528246079726,0.1234452826915432,0.0381490348437906,0.027496210235817997,4.8891973166403924e-05
LHX6,0.1270249798922296,0.0184686058713058,0.1263908752516724,0.0127100944730658,0.1445664756068393,-0.0261155338889119,0.1261524286109274,0.046574733893427,0.1262696852799976,-0.0200272871114052,-0.0666020210048322,-0.00011725666907019816
LHX9,0.1867833550963787,0.0071927803787867,0.1852028095855695,0.0050007603267303,0.2363842289633432,-0.0059056296556664,0.1853171083488139,0.0059677071611263,0.1852993295294163,,,1.7778819397601398e-05
LYL1,0.1478714622615092,0.0172295521944929,0.1473102278326879,0.0137058658114612,0.1616734525329663,0.0276037331201798,0.1470964476303072,0.0348994314934868,0.1469813684531878,0.0519034175822664,0.0170039860887796,0.00011507917711939264
MBD4,0.1332155340621177,0.0189828928780466,0.1318593189023579,0.00194841081187,0.1406248080556404,0.0306429162820936,0.131861156256206,-0.0206798382045191,0.1318466889308432,-0.0381183479821223,-0.0174385097776032,1.4467325362810257e-05
MECOM,0.2149847773585847,-0.0095510571615345,0.2138425055733393,0.0121893705929781,0.2399157654171989,-0.0366702356867912,0.2136562119287478,0.0233280480182424,0.2136711639194216,0.0294182121609649,0.006090164142722499,-1.4951990673778282e-05
MESP1,0.0945799282285339,0.0572081153493101,0.094609320948878,0.0559841087760591,0.1055396248522516,-0.0433612167615094,0.0941476346714803,0.0566771976105653,0.0942059112823355,0.0424922652153797,-0.014184932395185597,-5.827661085520963e-05
MKX,0.1386259536666508,0.0086282522037694,0.1377730834593642,0.0426851368345832,0.1549955810402259,-0.0336009110330619,0.1378079715781378,0.0467234286484611,0.1379589176584022,-0.0921054799430925,-0.1388289085915536,-0.00015094608026441914
MLXIP,0.1464976414626674,0.0191565593523647,0.1459159445665128,0.037834889947179,0.1670323369315458,-0.0189424223361128,0.1459327402353878,0.0273359832961431,0.1458859248751922,0.0382253927556971,0.010889409459553998,4.6815360195601174e-05
MMP3,0.4980649369929575,0.0242555603207205,0.3326515074088149,0.0085215557027377,0.1426374560400017,-0.0475764062107065,0.2771440747779182,-0.0447836289100127,0.2771432554281102,0.0008412759547384,0.045624904864751105,8.193498080011352e-07
