perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
FOXD3,0.2168336477439869,0.0493627411130952,0.2164401805490931,0.0521526602904289,0.2364670708200493,0.0396391695373362,0.2164111216646214,0.0418161704625211,0.2164453649517482,0.0391314531217914,-0.0026847173407296976,-3.4243287126811683e-05
FOXE1,0.2515576801499412,0.0476032213935902,0.2511531043556145,0.0216413948050595,0.2708273230973937,0.0655532696314283,0.2495617605365502,0.063281121893958,0.2490933581163378,0.0869238041263536,0.0236426822323956,0.0004684024202123993
FOXE3,0.1616415001456875,0.0661921757191882,0.1614374780165136,0.0674518464096205,0.1826591172523413,0.0519681309521056,0.1613963680941738,0.07054413164267,0.1615079003050042,0.0583774456744784,-0.0121666859681916,-0.00011153221083040621
FOXF1,0.180451648046806,0.2085653351810724,0.1811625988220019,0.1876313985711319,0.212318230081821,0.1377151340912936,0.1799820879773528,0.2126208035140458,0.178122305871483,0.2549472236358038,0.042326420121757996,0.0018597821058697894
FOXF2,0.1444506975569029,0.1721922648640839,0.1450950966503376,0.1380536276591724,0.1674583193446182,0.120534706808882,0.1440870948610915,0.1840150400305359,0.1429428445997954,0.2221871684567761,0.03817212842624021,0.0011442502612961092
FOXI3,0.1704032059364008,0.1611504618265958,0.1695912679602338,0.1792260488787392,0.1963961784884328,0.1542437766471975,0.1685033949059169,0.2113223272320364,0.1664720642294194,0.2638287268493789,0.05250639961734252,0.0020313306764974948
FOXJ1,0.2556959212068111,0.0781953282404918,0.2435690309106456,0.0416314777646891,0.4567388620345318,0.0057524571567508,0.231487563223416,0.0743149001163557,0.230885284098827,0.1094978400801749,0.03518293996381919,0.0006022791245889891
FOXL2,0.1580521607478204,0.145118743343195,0.1533891887801756,0.1947991258414925,0.1803660280991219,0.1709702127284749,0.1528355831474688,0.215264693957289,0.151565885259289,0.2528003074202834,0.037535613462994416,0.0012696978881798215
FOXP4,0.1483808089853137,0.1565820277720775,0.1484413217813249,0.1683343328239249,0.1727227206169309,0.0184157934410185,0.1479286320697458,0.1702914790546972,0.148033220891143,0.1669252992270198,-0.0033661798276773958,-0.00010458882139721681
GATA2,0.2777912421830471,0.1441007846718232,0.2773230902389641,0.1127403877807668,0.2844305163559678,0.1312566837059907,0.275693371917148,0.1356721092321186,0.2759690777858502,0.1280501236190581,-0.007621985613060489,-0.00027570586870223623
GATA3,0.1415767909177975,0.2287061450596667,0.1417681677895926,0.2223604328043188,0.1689732018527492,0.1269259226008533,0.140837832031491,0.243778687849547,0.137806182028891,0.3156146489641896,0.0718359611146426,0.0030316500026000004
GATA4,0.2109452435887586,0.1432420816956904,0.211160644665158,0.111939494999602,0.2295476940220606,0.116718091770988,0.2098770680872762,0.1494922674802616,0.2081791250886822,0.1983819800681246,0.04888971258786301,0.0016979429985939931
GATA6,0.2318341184555175,0.1064404383210667,0.231475251069635,0.0955041061232588,0.2719026846590043,0.0729758825075248,0.231088128609384,0.1240750681609468,0.2296076369414514,0.1675538458349984,0.043478777674051616,0.0014804916679325986
GFI1,0.1397674554873544,0.0813315938773195,0.1398671131661385,0.0594698574502027,0.1625507326048733,0.0584369831002159,0.1397704050756048,0.0738280875147309,0.1394314789967844,0.0989255639772212,0.025097476462490304,0.00033892607882038406
GLI1,0.2015812367415513,0.0921548886502277,0.1983977664885094,0.1502055695711358,0.2279111896264592,0.0699473641985066,0.1985914230063064,0.129754462269951,0.1979887351747096,0.149168316194999,0.01941385392504802,0.0006026878315967821
GLIS3,0.1576642819029709,0.0998464558064983,0.1572765818102667,0.1083395690119691,0.1834311321675268,0.1112828342252263,0.1556287295910052,0.1637282038357344,0.1552512434003198,0.179414331404845,0.015686127569110614,0.0003774861906854221
GSC,0.1858107663038274,0.0881843177449668,0.1856199293903901,0.0934613926167416,0.2141420792378665,-0.0065400754501608,0.1853085197484796,0.1021641192734568,0.1845291680799146,0.1369091442758968,0.03474502500243999,0.0007793516685649926
GSX2,0.172573759564268,0.0535476014874623,0.1720672712298112,0.0431312584727742,0.1976989021015713,0.0314724727268595,0.1716543018796886,0.0890232498991916,0.1720156377534334,0.058255014801597,-0.030768235097594597,-0.00036133587374478915
