perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
LHX6,0.12672100045931256,0.032698459748011256,0.1262535884095999,0.012460085890232,0.1625123925478241,-0.0458281205720475,0.126209551779127,
LHX9,0.1867849668091454,0.013990305744414153,0.1864618613208439,-0.0099719146168026,0.2004318165160516,0.0196884911189483,0.184802440884087,0.0270374773064015
LYL1,0.1477488839825119,0.04206658063390687,0.1470115534360926,0.0496163720692966,0.1762363074961798,0.0567462358174208,0.14641296419842,0.102232692317282
MBD4,0.13295791443431146,0.030905208237675723,0.1318984922696074,0.0373314922057398,0.1484347154968539,0.0252210807698755,0.131684851644196,0.026949330510186
MECOM,0.21558947317537158,-0.0018571799142417602,0.2143040869849203,-0.0061660832395529,0.2417059794187005,-0.0254150020492379,0.21413561368059,6.72914537651261e-05
MESP1,0.0947572969937469,0.028759070239232538,0.0947176909773342,0.0006200749093387,0.1066743142523449,0.0694198419592941,0.0942469849514415,0.0210524830789079
MKX,0.13755423526359417,0.07595847669442395,0.1372126594654275,0.0890609468168774,0.1553978849891172,0.0727626513467867,0.137156022228672,0.10286170949381
MLXIP,0.14619102535592784,0.06612552605292302,0.1457639902624469,0.0742987366652769,0.1639007519700734,0.0465028323483356,0.146067668427646,0.0465674293155683
MMP3,0.4498258812267061,-0.007279584840371271,0.3329540209856919,-0.0015470096859118,0.1380594547336137,0.0269001206673257,0.276571647022185,
MNX1,0.16681243730694756,0.08482200055842148,0.1663043070280213,0.0925723253965958,0.1872935350180817,0.0735733484858938,0.166585399773777,0.0931603511202719
MXI1,0.18446467135255928,0.22786376324615998,0.1840062319830761,0.2267249237152036,0.1996068931110719,0.2021567929475306,0.184254282049923,0.221999557405916
MYBL1,0.15963461343207813,0.15674526762721666,0.1595598609972461,0.1554139249342577,0.1901445504469936,0.0618164268820411,0.159371294824366,0.16782587329943
MYC,0.18920852561168391,0.2689306646403621,0.189455744266573,0.2448465383099864,0.1934951716721718,0.2421993819538807,0.187275832321162,0.286621953537665
MYCN,0.21420589238897372,0.16267856517308735,0.2145689158123866,0.1496554823971762,0.2312324414901713,0.0781357896750252,0.213585611147179,0.17138509750003
MYOD1,0.1255846091286101,0.032122054747936404,0.12521360225222,0.0386947094275108,0.1488093182634043,-0.0115590576092322,0.124894332350172,0.0561712622900027
MYRF,0.16053679108484067,0.011940934439982004,0.1594784121846573,0.057751731304157,0.1707093425058446,-0.0024934165352436,0.159487011867419,0.0261637809167888
NCOA3,0.1175791371416969,0.037210938228857945,0.1161823583532116,0.0764684064873156,0.1248347158302111,0.0305612243148635,0.116346544492482,0.0847520459664946
NEUROD1,0.15763976704041827,0.18922699922659958,0.1560742385987071,0.2183819040255574,0.1701500622076709,0.1318845438020967,0.155539184293824,0.235443389336691
NEUROD2,0.26306285470052265,0.09800237311781879,0.2615539311335423,0.1098018169850491,0.2639594631184454,0.0932062923070963,0.260426179978264,0.146422709185653
NFATC1,0.15267369257234648,-0.011782101832287558,0.1516950285531766,0.0023652439622214,0.1623684458860929,0.0008234798805203,0.151405627467515,
NFE2,0.14558986253644213,0.07392661072693744,0.145317557622385,0.0936916138365257,0.157889614415355,0.0562481299211018,0.145274639988745,0.06904332494949
NFE2L2,0.1933350808822488,0.14062151264896028,0.1947297981756942,0.1289244826768829,0.2770589173344207,0.1523548077158506,0.189745645145544,0.0827133670756861
NFKBIA,0.16456377934644978,0.015311130371588072,0.1621725374992454,0.0140202410207108,0.1599834741820696,-0.0183714279933001,0.159772948782614,0.0016250646360677
NHP2,0.14239864745699393,0.02563714841174585,0.1410376699579071,0.0203302778300436,0.1895386799201941,0.0838320029204911,0.140282968777579,0.0269333762637501
NKX1-2,0.1469015628109979,0.03898874906509862,0.1461441088011542,0.0762047808941277,0.1708365588223332,0.0556049338663798,0.146485026472883,0.0519648532604468
NKX3-1,0.20265378845757842,0.12934886378855656,0.2024259249260666,0.11942704303882,0.225102674181363,0.0939796189149391,0.201999159243429,0.132927581938908
NKX3-2,0.15217755949644163,0.05180872355200951,0.1518373107812009,0.054320888702173,0.173977724117006,0.0341790585878112,0.151644227769619,0.0736488459917172
NKX6-2,0.11248567938271328,0.08488957195745835,0.1122782058263938,0.0735599815426713,0.1260793953100075,0.0910404992224232,0.112293774876975,0.0735833025363499
NME2,0.11981860408056771,0.06179731930751906,0.1172108280122186,0.0234747169088244,0.2116306283563689,0.067150679754841,0.108558084791107,0.0425431146496259
NOTO,0.12683315269325826,0.06554374674566468,0.1264005217368629,0.0740063016094332,0.1499868437010924,0.0296274153612918,0.126150493535628,0.107793247215009
NR2F2,0.14360183616845984,0.1104087461642331,0.143662893303259,0.0972246171216134,0.1720642079255707,0.0671045466859754,0.143588087359545,0.107060822800171
NR4A1,0.20374270614989876,0.0202456740388038,0.203348579536004,-0.0053562763491317,0.2237410802916757,-0.0047562501794015,0.203208121735496,0.0245466019293284
NR4A3,0.19553850279350182,0.023712141444148946,0.1929006409739123,0.0113954509589736,0.1988954252537466,0.0064284489348683,0.189869950519816,0.0015900483060781
NSD2,0.1956370678272196,0.07172801883579263,0.1956416197048483,0.0282553311189071,0.2124816083665984,0.0846005630082732,0.195016349394701,0.0558189808785449
ONECUT3,0.12785688445911758,0.146591051541885,0.1264641084991208,0.1998691237560099,0.1478387533342792,0.0025329063945711,0.126917059439195,0.178048676422159
OSR1,0.1407928261916493,0.016416362810591174,0.140111759181159,0.0478448426162283,0.166464975018225,0.0262897992108731,0.140269218545527,0.0304792830294861
OSR2,0.14882638169609774,0.023417581752954365,0.1479554329140541,0.0475038597390574,0.1674081984454317,0.0156654582338868,0.147750798367279,0.0574186883486005
OVOL1,0.21994544598889765,0.10362048605697172,0.2195268469876713,0.1216080573826459,0.2384387277911936,0.1429282934783322,0.219147651326207,0.129884572396105
OVOL2,0.20650846772432124,0.07988799799748385,0.2056304630963171,0.1088160595983245,0.2218659744992834,0.1113685722421725,0.20493056819137,0.127069831231897
PARP1,0.14885798690760219,-0.013297649148757886,0.1465958870646651,0.0123773192178951,0.1542706649333914,-0.0034068512899979,0.144894319794616,
