perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
MYCN,0.21624363366919483,0.09427854390702402,0.2142322791471781,0.1586687275195546,0.225671914484079,0.0524412283065456,0.216224384444481,0.0950890933056062
MYOD1,0.1257847954248355,0.023275464606099437,0.1252454979532698,0.0383463742666793,0.1428657830004199,-0.0248822046071846,0.125144139062644,0.0544623732052585
MYRF,0.16037957423473007,0.044137507840927466,0.1599027833862604,0.0224442714427794,0.1926087212306869,0.0332021218230935,0.159682068662043,0.0534396623930108
NCOA3,0.11794842165114186,0.014826444621415002,0.1165782980499854,0.0261273265911383,0.1253744124694437,-0.0358913509386462,0.116674171465306,0.0463917058428558
NEUROD1,0.16036873526563733,0.047804544668133796,0.1593718428938906,0.078988695410189,0.1806607177339463,0.0264734230370799,0.159114872657024,0.0929582723910878
NEUROD2,0.2653534513213228,0.005508720924995406,0.2640353973412065,0.0137711633284296,0.286961780709439,0.007438682369909,0.262885575146902,
NFATC1,0.1529560676059365,-0.0035629109678174077,0.1523862624902642,-0.01670595112991,0.1816759770309414,0.0216896671163501,0.151239178052784,0.0274021124803527
NFE2,0.14660953792404274,0.015324056103654043,0.1460418728507511,0.0033645877031544,0.1554544422353219,0.0572795657997649,0.146028398911508,
NFE2L2,0.1970837219112987,0.01634489297071409,0.1936215313075752,0.020567496488139,0.1761535436117007,0.0054138991266077,0.189514587778746,0.0264467422553055
NFKBIA,0.16460148680971443,0.021000593213335913,0.1604913870280211,0.0422611208633352,0.1646686404384661,0.0289417812969943,0.159620220956833,0.0289389322961658
NHP2,0.14287299696926378,0.0256107983341561,0.1407896534569405,0.0103766653823724,0.1475273929385873,0.0271296618765907,0.140674820797666,0.017424144180858
NKX1-2,0.14681693527003709,0.06695906064836535,0.1464302493304816,0.0617114402910804,0.1727411026702393,-0.0222227068739464,0.14618985910581,0.0823099484488815
NKX3-1,0.20427163861893183,0.055278983010926964,0.2017566853507925,0.1185367551976049,0.2076292978246569,0.0798508497691651,0.202968528393642,
NKX3-2,0.15211803418176376,0.05051277487460791,0.1514302675877082,0.0933845651222406,0.1632665025453642,0.0806630806697318,0.151977330429756,0.0221445107127011
NKX6-2,0.1123996151536984,0.052528868111699635,0.1121455643675196,0.031929020748679,0.125946052022319,-0.0159915604245786,0.112374627794557,-0.000465276793894
NME2,0.12081335513752003,0.01041978329893867,0.1367305810818134,0.04305143104756,0.1065938412177856,-0.0027402246023338,0.108869415633159,
NOTO,0.12659761622031454,0.08568087526349658,0.1262409342433415,0.0689810715765001,0.1398688776186979,0.0312246995212491,0.126483765281277,0.0697541182238004
NR2F2,0.14430550093672131,0.08084313034609779,0.1437861814962736,0.1018487545497592,0.1698262057272427,0.025845133732115,0.143942191698514,0.0844630799244005
NR4A1,0.20494192630733007,0.0003473477225893563,0.203209717315912,0.0154168429083691,0.2226780893775397,-0.0166663788132559,0.203001722454933,0.0425370771588528
NR4A3,0.19625443070080986,-0.008686082455629674,0.1931181736089077,0.0054858174850455,0.172867268848144,0.0522845843773957,0.18993645346354,
NSD2,0.19646237322337912,0.020378036985469857,0.1953850890294577,0.0495655376382828,0.2300638140717948,0.0378506608716557,0.195087391699287,
ONECUT3,0.12974909824814101,0.021200364936139054,0.1288307153399761,0.068049886944058,0.1483983031883401,0.0324042939298817,0.129002706162785,0.0645506196211769
OSR1,0.14100395413657593,0.016925403471769095,0.1402923687446349,0.0242401540105704,0.1517677619247112,0.0120877152642871,0.140185105609481,0.0589881620820571
OSR2,0.1489797589406607,0.027206383549251274,0.1478668862808822,0.0488448507356559,0.1800090530641173,0.0489966377109077,0.147881820822287,0.043099506300866
OVOL1,0.22231043361379713,0.01143469536194992,0.2207335652582481,0.0379825214218701,0.2198076033189298,0.0429073475149793,0.220978497166245,0.0392491604139097
OVOL2,0.20767286755171321,0.012613052900240779,0.2066445914524396,0.0402959570019167,0.2237816953040357,-0.0069860777384344,0.207017570558351,0.0273094996677523
PARP1,0.14989500304968556,-0.020758225279039918,0.1503884993001665,0.0041618168244539,0.2182193661641106,-0.0081284973742139,0.145124351359668,
PAX2,0.16042401695115088,0.09282659853641402,0.1594266623270385,0.1090493025923844,0.170977368027888,0.0617518681185155,0.159572291639109,0.111404956836884
PAX3,0.16423249047829813,0.0049034893622578735,0.1634601999571005,-0.0132977763369311,0.1688027507304429,0.0273053734251252,0.163120323549204,0.0218541371216965
PAX5,0.18370949827016228,0.08586987806112156,0.1826911061533576,0.0909710968076316,0.2097255448300489,-0.0327378600387359,0.182607807874875,0.0909854533414544
PDX1,0.12734396355410535,0.07923489859864506,0.1269375207350123,0.0827234064053311,0.1407800888777198,0.0066224794141275,0.126742931204183,0.0951173785258311
