perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
NKX3-2,0.1632665025453642,0.08066308066973189,0.1776463805832018,"(128, 64, 32)",0.01,0.0001
NKX6-2,0.125946052022319,-0.015991560424578624,0.13428506387393874,"(32,)",0.001,0.001
NME2,0.10659384121778566,-0.002740224602333891,0.1375377887774562,"(64,)",0.001,0.001
NOTO,0.13986887761869793,0.03122469952124913,0.14826266362195312,"(32,)",0.001,0.001
NR2F2,0.1698262057272427,0.025845133732115007,0.16487117739501364,"(128, 64, 32)",0.01,0.0001
NR4A1,0.22267808937753972,-0.016666378813255917,0.2291805408996875,"(128, 64, 32)",0.01,0.0001
NR4A3,0.17286726884814402,0.05228458437739571,0.21928145977301333,"(128, 64, 32)",0.01,0.0001
NSD2,0.23006381407179485,0.037850660871655784,0.2130319212871759,"(128, 64, 32)",0.01,0.0001
ONECUT3,0.14839830318834019,0.03240429392988172,0.15160666461673072,"(64,)",0.001,0.001
OSR1,0.15176776192471128,0.012087715264287174,0.16469998512450723,"(128, 64, 32)",0.01,0.0001
OSR2,0.18000905306411738,0.04899663771090778,0.1660300027372892,"(32,)",0.001,0.001
OVOL1,0.21980760331892982,0.04290734751497939,0.24877689563154762,"(128, 64, 32)",0.01,0.0001
OVOL2,0.22378169530403574,-0.006986077738434409,0.23182353403451433,"(128, 64, 32)",0.01,0.0001
PARP1,0.21821936616411064,-0.008128497374213957,0.1522750487550886,"(128, 64, 32)",0.01,0.0001
PAX2,0.17097736802788804,0.06175186811851553,0.18540671159430983,"(64,)",0.001,0.001
PAX3,0.16880275073044293,0.027305373425125228,0.18918979970438285,"(128, 64, 32)",0.01,0.0001
PAX5,0.20972554483004896,-0.03273786003873597,0.20484275828605442,"(128, 64, 32)",0.01,0.0001
PDX1,0.14078008887771984,0.0066224794141275046,0.15050200936036087,"(32,)",0.001,0.001
PHOX2A,0.16458731340043647,0.055743079338818,0.17011288309923647,"(32,)",0.001,0.001
PITX1,0.11643390243583597,-1.840960355477243e-05,0.12960481848058236,"(32,)",0.001,0.001
PLAG1,0.22627487097123963,0.04164541843091066,0.2675845667044964,"(128, 64, 32)",0.01,0.0001
PLAGL1,0.19032183218772927,0.026580920811713368,0.2459257651620453,"(128, 64, 32)",0.01,0.0001
POU4F2,0.17635439727501068,-0.0020950205571319182,0.16371474400123015,"(64,)",0.001,0.001
PPARGC1A,0.29801093949727003,-0.006272530110955329,0.2576179941475926,"(128, 64, 32)",0.01,0.0001
PRDM1,0.21716264081140513,-0.014608916343643178,0.2149023331626307,"(128, 64, 32)",0.01,0.0001
PRDM16,0.19045485013158228,0.022342595127538493,0.19516212399198732,"(128, 64, 32)",0.01,0.0001
PROX1,0.1627829315520967,0.01665373691908819,0.15970263989487643,"(64,)",0.001,0.001
PRRX2,0.13445024753160587,-0.012681799177866798,0.14844777566282952,"(32,)",0.001,0.001
PSAP,0.14141577427452284,0.004695289786059596,0.15855273221939212,"(64,)",0.001,0.001
PTF1A,0.14808677145741073,0.039679062229884196,0.1558499738358151,"(32,)",0.001,0.001
RBMS1,0.12049375180282498,-0.03128036392734192,0.11793968344846943,"(32,)",0.001,0.001
RBPJ,0.1371282176474307,0.018437999764192397,0.14722194460856905,"(32,)",0.001,0.001
RERE,0.15898603557212881,0.007959082419146501,0.16084030621100917,"(32,)",0.001,0.001
REXO1,0.19309321922193456,-0.038924295403756436,0.19400429313060907,"(128, 64, 32)",0.01,0.0001
RREB1,0.13594059533002703,-0.033931637652543825,0.13779245585897817,"(32,)",0.001,0.001
RUNX1,0.2008449156522102,0.015593410731088695,0.203068494802425,"(128, 64, 32)",0.01,0.0001
RUNX2,0.2393315883335573,-0.002675104689080626,0.2359641220035024,"(128, 64, 32)",0.01,0.0001
SALL1,0.17113428626407873,0.02486213949232217,0.17144328411207066,"(32,)",0.001,0.001
SALL3,0.1286988501480259,0.039102298641803285,0.1415797235790474,"(32,)",0.001,0.001
SATB2,0.11727957572876896,0.012726870689382885,0.12400793733637634,"(32,)",0.001,0.001
SIX4,0.18450669329424063,0.000636540265510279,0.1790492635205077,"(128, 64, 32)",0.01,0.0001
SMAD1,0.17089093135628858,0.06889241145532418,0.1859980685307428,"(128, 64, 32)",0.01,0.0001
SMAD5,0.1822610054092753,0.0692776565758456,0.19509973959465848,"(64,)",0.001,0.001
SMAD6,0.17918836547898784,0.022761117484105125,0.1669222741389112,"(128, 64, 32)",0.01,0.0001
SMARCA1,0.16815664257902974,-0.009825920002959045,0.1862974619623501,"(128, 64, 32)",0.01,0.0001
SMARCA2,0.15925147646274085,-0.023018627832861148,0.11416540210543828,"(32,)",0.001,0.001
SNAI1,0.16415219364132302,0.07017637941985981,0.18154998078662532,"(128, 64, 32)",0.01,0.0001
SOX8,0.18850066120946452,-0.004738844917221056,0.1919169738006174,"(64,)",0.001,0.001
SOX9,0.1812222882618712,-0.0013268211456094893,0.19075954176504747,"(128, 64, 32)",0.01,0.0001
SOX11,0.28749938187108803,-0.006491034923086052,0.30105829255364447,"(128, 64, 32)",0.01,0.0001
SOX12,0.12228366308984007,0.027193848191745033,0.13529665594491969,"(32,)",0.001,0.001
SOX13,0.20268496683056703,-0.0035983051584090806,0.2052830731295951,"(128, 64, 32)",0.01,0.0001
SOX15,0.1816725171753076,-0.010987893802202591,0.17688785123321582,"(128, 64, 32)",0.01,0.0001
SOX17,0.15908392149347098,-0.0008540022880619052,0.16586419814747586,"(128, 64, 32)",0.01,0.0001
SOX18,0.23951981874387274,0.04737310973189066,0.23588473781420669,"(128, 64, 32)",0.01,0.0001
SP3,0.16843524163320364,-0.004948991615535412,0.16870083795944582,"(128, 64, 32)",0.01,0.0001
SRF,0.15318326690160505,-0.0008430005206413392,0.1616725998964738,"(32,)",0.001,0.001
STAT2,0.24619066458707295,0.04004375707319139,0.2456666986922622,"(128, 64, 32)",0.01,0.0001
SUZ12,0.0973876862966459,0.039986740482590266,0.10205149672686491,"(32,)",0.001,0.001
TBX3,0.14529952996324658,0.08724412684340024,0.15858520591857175,"(128, 64, 32)",0.01,0.0001
TBX5,0.19011611546563778,0.049544760326475375,0.22710928576193928,"(128, 64, 32)",0.01,0.0001
TBX18,0.13846797993224366,0.04818638585804134,0.1468225965670537,"(32,)",0.001,0.001
TBX20,0.15247277589810942,0.05831668172306896,0.1720638154148632,"(64,)",0.001,0.001
TBX21,0.20322878821117113,0.03964033178072183,0.22980205586470195,"(128, 64, 32)",0.01,0.0001
TCF7L1,0.13519798026758756,0.04548996256605992,0.13845172596248528,"(128, 64, 32)",0.01,0.0001
TEAD3,0.12165903255895516,0.08972545493385516,0.1330465535378988,"(32,)",0.001,0.001
TFAP2A,0.18948355438215694,0.02214269793766247,0.1753469254241126,"(128, 64, 32)",0.01,0.0001
TFAP2C,0.18601724595638727,0.036027766616190955,0.1853432078058091,"(128, 64, 32)",0.01,0.0001
TFAP2E,0.2782912806856236,-0.03236968264685362,0.276532847168827,"(64,)",0.001,0.001
TFCP2L1,0.139484841701798,-0.029919788005150452,0.1507340423481285,"(32,)",0.001,0.001
TGIF1,0.18466090760803291,-0.028634843407847336,0.1822662104911354,"(128, 64, 32)",0.01,0.0001
THRA,0.14541284918839426,0.08401999292205506,0.15114505000156747,"(32,)",0.001,0.001
TLX1,0.203134379012204,0.005190671099835401,0.21612890506634685,"(64,)",0.001,0.001
TONSL,0.13474208787902553,0.0310478304479439,0.1447632961286347,"(32,)",0.001,0.001
TOX,0.10340283603203781,0.021373657122937866,0.11337932343701687,"(32,)",0.001,0.001
TP73,0.24901050056013757,0.0460790444488403,0.28888848455654503,"(128, 64, 32)",0.01,0.0001
TRIM22,0.13766737566470605,-0.006576112192688642,0.15664332103092168,"(128, 64, 32)",0.01,0.0001
TRIM24,0.1542994243131235,-0.0024217851878157795,0.16245359584481048,"(128, 64, 32)",0.01,0.0001
TRIM28,0.1098246138702266,0.0006747786548559083,0.1425434315563499,"(32,)",0.001,0.001
TSC22D1,0.17934326518222213,-0.05238780259857357,0.13354692835059634,"(32,)",0.001,0.001
TSHZ1,0.22060818676835706,-0.049971685393883136,0.21410559775128896,"(128, 64, 32)",0.01,0.0001
TWIST2,0.16586945096065697,0.0016412217195517702,0.1722482117765944,"(128, 64, 32)",0.01,0.0001
VENTX,0.1813147014310105,0.04295390832441869,0.1872767900940698,"(128, 64, 32)",0.01,0.0001
YAP1,0.09984014109760994,0.056749234027209765,0.10811783302979146,"(32,)",0.001,0.001
YBX1,0.12988706027218164,0.0381393373525172,0.20238138519009302,"(128, 64, 32)",0.01,0.0001
YBX3,0.14995367562671372,0.052648327421901626,0.27763556428164776,"(128, 64, 32)",0.01,0.0001
YWHAZ,0.1434979216951279,0.07168177482169284,0.15888099945502224,"(128, 64, 32)",0.01,0.0001
ZBTB7A,0.17436650691641828,-0.007476326467238744,0.18180335332937209,"(64,)",0.001,0.001
ZBTB10,0.1634611560836786,0.014641208091664401,0.1684494819578486,"(128, 64, 32)",0.01,0.0001
ZBTB18,0.20504074458892138,-0.04795382455030781,0.1940711839990996,"(128, 64, 32)",0.01,0.0001
ZBTB37,0.08129779316245091,0.03824342729924224,0.09022986104628133,"(32,)",0.001,0.001
