perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
NEUROD2,0.2639594631184454,0.09320629230709636,0.28254367382660345,"(128, 64, 32)",0.01,0.0001
NFATC1,0.16236844588609292,0.0008234798805203006,0.1786563190118306,"(128, 64, 32)",0.01,0.0001
NFE2,0.157889614415355,0.05624812992110186,0.16863800583792288,"(128, 64, 32)",0.01,0.0001
NFE2L2,0.27705891733442073,0.15235480771585064,0.18658591642008596,"(128, 64, 32)",0.01,0.0001
NFKBIA,0.15998347418206962,-0.01837142799330011,0.1843324005242331,"(128, 64, 32)",0.01,0.0001
NHP2,0.1895386799201941,0.08383200292049117,0.15411131467635197,"(128, 64, 32)",0.01,0.0001
NKX1-2,0.17083655882233328,0.055604933866379894,0.16601136929278848,"(128, 64, 32)",0.01,0.0001
NKX3-1,0.225102674181363,0.09397961891493911,0.22034565688596394,"(128, 64, 32)",0.01,0.0001
NKX3-2,0.173977724117006,0.034179058587811215,0.17508643604830215,"(128, 64, 32)",0.01,0.0001
NKX6-2,0.12607939531000759,0.09104049922242327,0.1344877415585013,"(32,)",0.001,0.001
NME2,0.21163062835636898,0.06715067975484108,0.10138054566809376,"(32,)",0.001,0.001
NOTO,0.14998684370109241,0.02962741536129184,0.14441726986543754,"(32,)",0.001,0.001
NR2F2,0.17206420792557076,0.06710454668597549,0.16215062065277908,"(128, 64, 32)",0.01,0.0001
NR4A1,0.22374108029167572,-0.004756250179401565,0.2259920737897755,"(128, 64, 32)",0.01,0.0001
NR4A3,0.19889542525374668,0.006428448934868389,0.21146509923250578,"(128, 64, 32)",0.01,0.0001
NSD2,0.2124816083665984,0.08460056300827326,0.2133617289413326,"(128, 64, 32)",0.01,0.0001
ONECUT3,0.14783875333427926,0.0025329063945711923,0.14786078568091993,"(32,)",0.001,0.001
OSR1,0.16646497501822502,0.0262897992108731,0.1615522024053302,"(128, 64, 32)",0.01,0.0001
OSR2,0.1674081984454317,0.01566545823388681,0.17017131336516753,"(128, 64, 32)",0.01,0.0001
OVOL1,0.23843872779119368,0.14292829347833227,0.23857564994066843,"(128, 64, 32)",0.01,0.0001
OVOL2,0.22186597449928347,0.11136857224217259,0.22535509943903342,"(128, 64, 32)",0.01,0.0001
PARP1,0.15427066493339148,-0.003406851289997957,0.1722582066947023,"(128, 64, 32)",0.01,0.0001
