perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
RUNX1,0.076681068175784,,0.0399744387405905,0.126410274607139
RUNX2,,,0.0508631465548466,0.109581327381937
SALL1,0.0711470809564107,,0.0467168003541053,0.147731494114334
SALL3,0.0674697014564671,,0.0682903692603184,0.147127140529517
SATB2,,,0.0948608775010045,0.0948608775010045
SIX4,0.0344740600632933,,0.0501572019990662,0.108060415941725
SMAD1,0.120189618866629,,0.0204704623505765,0.204704623505765
SMAD5,0.134359237421271,0.113422016070292,0.0167899447464955,0.167899447464955
SMAD6,0.145025766917882,,0.0176051657083783,0.176051657083783
SMARCA1,0.0610971682982211,,0.05348217123136,0.115223844999067
SMARCA2,,,0.0633347440783937,0.0633347440783937
SNAI1,0.113705275478041,,0.0208607440574807,0.142122594810096
SOX8,0.0985122329415987,,0.0270909647356615,0.125745119408844
SOX9,0.103730567559959,,0.0162001932354357,0.162001932354357
SOX11,0.0987532219838389,,0.0150739863706992,0.150739863706992
SOX12,0.0816362396188934,,0.0227355676732356,0.105529157037938
SOX13,0.0788182979089166,,0.047654677421642,0.150697321812989
SOX15,0.0812659257962841,,0.0279585478908608,0.129772083694248
SOX17,0.0441461279127502,,0.0698062305310559,0.102461534048941
SOX18,0.131089211111905,,0.00892255328910891,0.192230583297143
SP3,0.0674199750802181,,0.0263130193261934,0.122134216683096
SRF,,,0.0715821662729352,0.0715821662729352
STAT2,0.160161492512064,,0.0155868324916925,0.228783413158541
SUZ12,0.126695683202645,,0.0182237109229337,0.182237109229337
TBX3,0.0595403727940255,,0.0324024818534433,0.102465644499155
TBX5,0.130075050432783,,0.0230918845493475,0.157323178030726
TBX18,0.0458912873556228,,0.0242290430076839,0.11246125547359
TBX20,0.151040534637589,,0.0267507704539849,0.182250877514899
TBX21,0.0885924208626921,,0.0270796108747338,0.125692419454743
TCF7L1,,,0.0730970070781736,0.0730970070781736
TEAD3,0.141467290035418,,0.0149795587098632,0.219869853036391
TFAP2A,0.0680919659472829,,0.0310994732721097,0.0983451695713963
TFAP2C,,,0.0814626963401694,0.0814626963401694
TFAP2E,,,0.0216547410114336,0.100512404073447
TFCP2L1,0.0598712352260468,,0.046932616633807,0.148413965114335
TGIF1,,,0.0915028619662597,0.0915028619662597
THRA,0.170274749554955,0.110226265374478,0.0227654197673228,0.227654197673228
TLX1,0.133900804338134,,0.0207604819853586,0.207604819853586
TONSL,,,0.0581390410176886,0.125256766813695
TOX,,,0.0460848721712231,0.0992868472913681
TP73,,,0.0570098576398585,0.12282401497309
TRIM22,,,0.0661117439408301,0.0661117439408301
TRIM24,0.074323942113837,,0.0380241206297855,0.176492333723158
TRIM28,0.148572071459586,,0.0407779628364331,0.277817026728022
TSC22D1,,,0.045251850374221,0.0974921562343539
TSHZ1,,,0.0666132697012168,0.0666132697012168
TWIST2,0.105945139212247,,0.0131955706818658,0.131955706818658
VENTX,,,0.0774233440610839,0.0774233440610839
YAP1,0.191622139349402,,0.0239669062755896,0.163284631654147
YBX1,,,0.0889456146589695,0.0889456146589695
YBX3,,,0.0609512584908461,0.0609512584908461
YWHAZ,0.161363875740298,,0.0159425983321893,0.234005341559803
ZBTB7A,0.0581143270135837,,0.0261385232862585,0.121324277812625
ZBTB10,0.0684881609572266,,0.0310219610077737,0.143991187810454
ZBTB18,,,0.0881761049259831,0.0881761049259831
ZBTB37,0.0728925261750094,,0.0542486727245192,0.171549365850533
ZBTB42,,,0.0281837124896469,0.0891247243866189
ZEB2,0.103360730900703,,0.0132265981617578,0.132265981617578
ZFP36L2,0.0763185701748529,,0.030894610033889,0.143400076952121
ZFPM2,0.0771096436703643,,0.0265492014989541,0.123230477218881
ZIC2,0.0691409587714114,,0.0604717559908904,0.130282448873918
ZNF136,0.100956318850589,0.0873297595990001,0.0113655109102547,0.113655109102547
ZNF286B,0.0733864130422805,,0.023365892595198,0.108454866157267
ZNF296,0.219745218998307,0.202089868328082,0.00430071886482293,0.136000671888943
ZNF618,0.144938321300964,,0.012685377595033,0.126853775950331
ZNF777,,,0.0626978793912359,0.0626978793912359
ZNF827,0.0894989275134621,,0.019463233212946,0.0903403259472117
