perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
MECOM,0.21498477735858476,-0.009551057161534501,0.2138425055733393,0.0121893705929781,0.2399157654171989,-0.0366702356867912,0.2136562119287478,0.02332804801824248,0.2136711639194216,0.029418212160964918
MESP1,0.09457992822853399,0.057208115349310126,0.094609320948878,0.0559841087760591,0.1055396248522516,-0.0433612167615094,0.09414763467148037,0.05667719761056533,0.09420591128233552,0.042492265215379785
MKX,0.13862595366665081,0.008628252203769468,0.1377730834593642,0.0426851368345832,0.1549955810402259,-0.0336009110330619,0.1378079715781378,0.046723428648461116,0.1379589176584022,-0.0921054799430925
MLXIP,0.14649764146266742,0.019156559352364787,0.1459159445665128,0.037834889947179,0.1670323369315458,-0.0189424223361128,0.1459327402353878,0.0273359832961431,0.1458859248751922,0.03822539275569714
MMP3,0.49806493699295756,0.024255560320720564,0.3326515074088149,0.0085215557027377,0.1426374560400017,-0.0475764062107065,0.2771440747779182,-0.0447836289100127,0.2771432554281102,0.0008412759547384002
MNX1,0.16755643521174787,0.03168726315336175,0.1667830857364476,0.0613060799551033,0.1841981172289337,0.0391030815535278,0.1670089280093506,0.026815145738830797,0.1671932577562556,-0.01155438121352012
MXI1,0.1869931938568723,0.15281761915476674,0.1855723325726734,0.1928213263236023,0.2093994708747311,0.072101702997505,0.18711953830035039,0.1407715585513675,0.1835818368969182,0.2405792423034224
MYBL1,0.1614949431748245,0.07675495178640585,0.1604190310808038,0.1270791064300271,0.1779269624723823,-0.0197985275897968,0.161090117518982,0.08443246423365545,0.161192286468391,0.07485623584923976
MYC,0.19201377054372565,0.20337416708256226,0.1891421885168343,0.2595885946569227,0.1950095648315786,0.1062295683228807,0.1927159299321808,0.1798823990245586,0.18312824629375882,0.35182408947750055
MYCN,0.21624363366919483,0.09427854390702402,0.2142322791471781,0.1586687275195546,0.225671914484079,0.0524412283065456,0.2162243844444808,0.09508909330560611,0.2136804216906342,0.1782238141121528
MYOD1,0.1257847954248355,0.023275464606099437,0.1252454979532698,0.0383463742666793,0.1428657830004199,-0.0248822046071846,0.12514413906264438,0.05446237320525854,0.1251579446489516,0.0479949521650415
MYRF,0.16037957423473007,0.044137507840927466,0.1599027833862604,0.0224442714427794,0.1926087212306869,0.0332021218230935,0.1596820686620432,0.05343966239301083,0.1597018729614256,0.0615753389837839
NCOA3,0.11794842165114186,0.014826444621415002,0.1165782980499854,0.0261273265911383,0.1253744124694437,-0.0358913509386462,0.11667417146530581,0.046391705842855756,0.1167525893079534,-0.0063612634571679596
NEUROD1,0.16036873526563733,0.047804544668133796,0.1593718428938906,0.078988695410189,0.1806607177339463,0.0264734230370799,0.1591148726570242,0.09295827239108764,0.15914353818661922,0.09464239344522316
NEUROD2,0.2653534513213228,0.005508720924995406,0.2640353973412065,0.0137711633284296,0.286961780709439,0.007438682369909,0.26288557514690264,0.003756617851724,0.2629798451161238,-0.020822930520132482
NFATC1,0.1529560676059365,-0.0035629109678174077,0.1523862624902642,-0.01670595112991,0.1816759770309414,0.0216896671163501,0.151239178052784,0.027402112480352743,0.1511373051478666,0.06175675629151324
NFE2,0.14660953792404274,0.015324056103654043,0.1460418728507511,0.0033645877031544,0.1554544422353219,0.0572795657997649,0.146028398911508,-0.0017335166982875,0.1459126632630022,0.03847501114622294
NFE2L2,0.1970837219112987,0.01634489297071409,0.1936215313075752,0.020567496488139,0.1761535436117007,0.0054138991266077,0.1895145877787458,0.026446742255305557,0.1893894527822344,0.04900627411439998
NFKBIA,0.16460148680971443,0.021000593213335913,0.1604913870280211,0.0422611208633352,0.1646686404384661,0.0289417812969943,0.15962022095683343,0.028938932296165797,0.1596192475091718,-0.016865289151225826
NHP2,0.14287299696926378,0.0256107983341561,0.1407896534569405,0.0103766653823724,0.1475273929385873,0.0271296618765907,0.1406748207976664,0.017424144180858036,0.1406395931085712,-0.00805961681913228
NKX1-2,0.14681693527003709,0.06695906064836535,0.1464302493304816,0.0617114402910804,0.1727411026702393,-0.0222227068739464,0.14618985910581,0.08230994844888151,0.14637335585764938,0.06679011899467956
NKX3-1,0.20427163861893183,0.055278983010926964,0.2017566853507925,0.1185367551976049,0.2076292978246569,0.0798508497691651,0.20296852839364182,-0.026380688612864998,0.20197717030415818,0.1131315960614406
NKX3-2,0.15211803418176376,0.05051277487460791,0.1514302675877082,0.0933845651222406,0.1632665025453642,0.0806630806697318,0.1519773304297562,0.0221445107127011,0.151945813306039,0.014164438765793158
NKX6-2,0.1123996151536984,0.052528868111699635,0.1121455643675196,0.031929020748679,0.125946052022319,-0.0159915604245786,0.1123746277945566,-0.00046527679389401984,0.11232303581094501,0.05987350133724789
NME2,0.12081335513752003,0.01041978329893867,0.1367305810818134,0.04305143104756,0.1065938412177856,-0.0027402246023338,0.10886941563315937,0.02409360622350195,0.10886214573580219,0.008314486319558551
NOTO,0.12659761622031454,0.08568087526349658,0.1262409342433415,0.0689810715765001,0.1398688776186979,0.0312246995212491,0.1264837652812766,0.06975411822380033,0.12622076042775882,0.10013976526951593
NR2F2,0.14430550093672131,0.08084313034609779,0.1437861814962736,0.1018487545497592,0.1698262057272427,0.025845133732115,0.14394219169851402,0.08446307992440047,0.144419228819138,0.01360868144153305
NR4A1,0.20494192630733007,0.0003473477225893563,0.203209717315912,0.0154168429083691,0.2226780893775397,-0.0166663788132559,0.20300172245493303,0.042537077158852785,0.2031718794463056,-0.0076695407791202
NR4A3,0.19625443070080986,-0.008686082455629674,0.1931181736089077,0.0054858174850455,0.172867268848144,0.0522845843773957,0.1899364534635398,-0.02666830967192285,0.1899350448652964,
NSD2,0.19646237322337912,0.020378036985469857,0.1953850890294577,0.0495655376382828,0.2300638140717948,0.0378506608716557,0.19508739169928718,-0.0298986995167584,0.1948264939191902,0.05540481228746462
ONECUT3,0.12974909824814101,0.021200364936139054,0.1288307153399761,0.068049886944058,0.1483983031883401,0.0324042939298817,0.1290027061627852,0.06455061962117689,0.1291680656600338,0.04110177826459036
OSR1,0.14100395413657593,0.016925403471769095,0.1402923687446349,0.0242401540105704,0.1517677619247112,0.0120877152642871,0.1401851056094808,0.05898816208205716,0.1403671344460282,0.03522530831834305
OSR2,0.1489797589406607,0.027206383549251274,0.1478668862808822,0.0488448507356559,0.1800090530641173,0.0489966377109077,0.1478818208222874,0.04309950630086602,0.1479070408525888,0.04507380269081894
OVOL1,0.22231043361379713,0.01143469536194992,0.2207335652582481,0.0379825214218701,0.2198076033189298,0.0429073475149793,0.22097849716624524,0.03924916041390964,0.2204924606663822,0.07558408110853507
