perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
ESX1,0.1916457331214991,0.05490557149649129,0.1914234628501938,0.0394600347096893,0.2071814688376812,0.070636345276136,0.19049416958707638,0.07817633815695077,0.1909798453427596,-0.0020149090021337
ETS1,0.18927722385963233,0.12229773726490749,0.1889109032719357,0.1430665933409506,0.2132799101272897,0.0860548216457059,0.18828502539609998,0.151658533259346,0.18699885393022658,0.1941752098543392
FEZF2,0.17021522308849116,0.11984847095197333,0.1697523075216542,0.1318833027539036,0.1854155329872032,0.0840141679686056,0.169822404158282,0.11872857333505746,0.1706432298814854,0.06878861901912958
FLI1,0.2410953931545793,0.10160420952639367,0.2404160293220308,0.1184354219688177,0.2592036844542162,0.1099562431187353,0.239590064579343,0.13676695792985627,0.23971767290979978,0.1312469953735932
FOSB,0.15206688899244034,0.22622529153291054,0.151893365481759,0.221267182946405,0.1789741096585001,0.1308485203241805,0.1508829209624456,0.2482778294626808,0.1472368403421118,0.3262412052347264
FOSL1,0.12307225620883584,0.06268285614360325,0.122387801073985,0.0926666836310763,0.1459750936350996,0.0090929248379117,0.1225797805279698,0.04966787658954302,0.12254276266026021,0.05769170322578364
FOSL2,0.18384500690038136,0.030357091217116765,0.1833071410832853,0.0486427814635204,0.2001741374017488,0.0695777914613514,0.1834606411175434,-0.0309922415544196,0.18337406283075702,0.03318132772211124
FOXA3,0.20373752325702602,0.0470296670828629,0.2032706247382144,0.0513762335353448,0.2154365211625233,0.1316694525063221,0.2028111286729784,0.0942899973049141,0.2028257103451702,0.09400190873677902
FOXC1,0.21722383354571143,-0.010317735362172557,0.2148425232499772,0.0394557202933711,0.2389380658441735,0.02173715742813,0.21498977224491359,0.0255837022475925,0.2151393720251234,-0.00039816890838225983
FOXC2,0.3169285566796884,0.009238015062224356,0.3137682947990813,0.0519501342839715,0.3413954378683277,0.0430673938816256,0.3139850970936176,0.0377524304658728,0.3129840823678702,0.08775263296206162
