perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
SMARCA2,0.1096583707019263,0.0250010550198423,0.1310084261404593
SNAI1,0.178297891530189,0.0901006684358215,0.1744270030391272
SOX8,0.1960563524337041,0.0430123638768232,0.1873492810549686
SOX9,0.1738464827559767,0.0760940209254208,0.1896718080647385
SOX11,0.2910984678821517,0.0836631261464828,0.2952058706417415
SOX12,0.1367419640917685,-0.0009667024602469,0.1328620998154911
SOX13,0.2003045951151833,0.0407955708913076,0.2040081347906003
SOX15,0.1768191798747827,-0.0364454111315316,0.1784811230128908
SOX17,0.1671131727647688,0.0446177887979235,0.1631018597338485
SOX18,0.234607131729654,0.1179583972792976,0.2322301475175077
SP3,0.1704651964135461,0.0124034843654563,0.1733225901385804
SRF,0.1561119606605746,-0.0109212336727337,0.1611978033239527
STAT2,0.2363877571827564,0.1349222762850505,0.2470616452925652
SUZ12,0.098344155342755,-0.0165979437514086,0.1034815221572331
TBX3,0.1533616309847982,0.0350142144868444,0.1561331817406953
TBX5,0.2113743155491671,0.0753024134905516,0.2201810544172141
TBX18,0.1435510874380662,0.0502500197395511,0.145196755026052
TBX20,0.1682320154301437,0.0793399597679528,0.1653030782910069
TBX21,0.2293672120748988,0.0488431235756979,0.2203573236304553
TCF7L1,0.1304129864314222,-0.0078534511562692,0.138956722747973
TEAD3,0.1356683650666193,0.0217553180611989,0.1303272784164208
TFAP2A,0.1903088220660026,0.0207047806747744,0.1743353747816491
TFAP2C,0.1895150641773039,0.0376722669666962,0.1847562218435499
TFAP2E,0.2680195556180845,0.0489451282903588,0.2728671040268051
TFCP2L1,0.1459256609121595,0.0154732648679586,0.1495458180109201
TGIF1,0.1872230976765888,-0.0350683989212036,0.1826207135523481
THRA,0.1443544725129948,0.077248778841985,0.1499256070254107
TLX1,0.2177954964723082,0.0631479976309701,0.2095710088287987
TONSL,0.1420955234567131,-0.0003549752825509,0.1422729357856317
TOX,0.1098785931225797,-0.0006439058628922,0.1173280038225133
TP73,0.2811056648167613,0.0284364856484856,0.2864163063151853
TRIM22,0.1951509764306355,-0.0684560160575453,0.1426541269359484
TRIM24,0.1597518998310239,0.0271699358069705,0.1603889285435986
TRIM28,0.1167715262926283,0.0950862443577706,0.1373331514643709
TSC22D1,0.1800104410848832,-0.0191720281997448,0.1325177597821016
TSHZ1,0.2111198933576261,0.0341445035323369,0.210245894395658
TWIST2,0.1815788260391598,0.0164199733393061,0.1687914903111732
VENTX,0.1903119510646654,0.0450173105265033,0.1877763990470887
YAP1,0.1076980469967909,0.0921605974345985,0.1069311521747521
YBX1,0.4235079877018056,0.0428207224576209,0.1259276199295632
YBX3,0.1610756286274913,0.0079479319240347,0.2800538005030055
YWHAZ,0.1478698701095027,0.0935135723732021,0.1555670843339076
ZBTB7A,0.1814452539446496,0.0470275487016444,0.1784691868232397
ZBTB10,0.1624064950868957,0.0616677062866795,0.1685944765561211
ZBTB18,0.2036245450161729,-0.0174051135580547,0.1954298818467188
ZBTB37,0.0878974106574984,-0.0355540763754945,0.089515042205553
ZBTB42,0.2424867274944014,0.0213683059856058,0.2438400471916091
ZEB2,0.2226455510850193,0.0253051625265674,0.2245395577959259
ZFP36L2,0.1341422033855927,0.0310108677772715,0.1370376118764585
ZFPM2,0.1375634602608834,0.0724283743483993,0.1428834561543193
ZIC2,0.1892043355878431,0.0308750999048645,0.1894032181255378
ZNF136,0.1948533804124686,0.0314497710263507,0.1951068807554544
ZNF286B,0.1974195763564393,0.0644558838259266,0.1920592989325442
ZNF296,0.1848527686097718,0.1283900533562479,0.1776484503782699
ZNF618,0.1419314944788506,0.0281120452649832,0.1336874098459512
ZNF777,0.1492944729173602,0.0110513856439187,0.1508086524313359
ZNF827,0.2042662977894238,0.0247907114601469,0.2111354411430412
