perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
TWIST2,0.1658694509606569,0.0016412217195517,0.1722482117765944
VENTX,0.1813147014310105,0.0429539083244186,0.1872767900940698
YAP1,0.0998401410976099,0.0567492340272097,0.1081178330297914
YBX1,0.1298870602721816,0.0381393373525172,0.202381385190093
YBX3,0.1499536756267137,0.0526483274219016,0.2776355642816477
YWHAZ,0.1434979216951279,0.0716817748216928,0.1588809994550222
ZBTB7A,0.1743665069164182,-0.0074763264672387,0.181803353329372
ZBTB10,0.1634611560836786,0.0146412080916644,0.1684494819578486
ZBTB18,0.2050407445889213,-0.0479538245503078,0.1940711839990996
ZBTB37,0.0812977931624509,0.0382434272992422,0.0902298610462813
ZBTB42,0.2321766472761808,0.0066412837697549,0.2457641478738018
ZEB2,0.2092785655645979,0.0191242184816708,0.2288601488962113
ZFP36L2,0.1298718538823109,0.0036505388044039,0.1393177353405828
ZFPM2,0.1345903922285928,0.0091608942573001,0.1435296528284154
ZIC2,0.1888672325447996,0.0236245107936543,0.1901476064977679
ZNF136,0.1897212069805151,0.0566828592553206,0.1956141837903969
ZNF286B,0.1954783070546215,-0.0453426275231778,0.1964281329373177
ZNF296,0.1608859419692329,0.0882760993025452,0.187093870690033
ZNF618,0.135867716251739,0.0318579303155974,0.1365054997918859
ZNF777,0.1436010168732391,0.0358873749434505,0.1517370907528804
ZNF827,0.1895107165103129,0.0227829872822813,0.2130476508491145
