TF,k,MSE,RMSE,Pearson,Spearman
IKZF2,75,0.023986763595259586,0.15487660764382588,0.04521657967580299,0.035498415202007395
IKZF5,100,0.0490688561602677,0.2215149118237138,0.06266415675974046,0.06072403043192759
INSM2,100,0.040134954700392904,0.20033710265548144,0.10839713511444948,0.08301990502759297
IRF1,100,0.04895695267820883,0.22126218085838534,0.2296061642147707,0.05522789004307014
IRF4,100,0.03593342891820189,0.18956114822980444,0.09118922566093221,0.07038761568521129
IRX3,100,0.024318366331321943,0.1559434715892972,0.04283911828280933,0.038397012803838615
JDP2,100,0.0203598409329727,0.1426879144600996,0.07688138607975949,0.10570748520595001
JUN,100,0.019175643170479834,0.13847614657579058,0.07658060480770597,0.07492871422417856
JUNB,50,0.0778931379500291,0.2790934215455984,0.0312186616722696,0.03164650417057928
KLF2,100,0.03056115022910951,0.17481747689836252,0.08055548405687829,0.08274333454534752
KLF3,50,0.015313365906745976,0.12374718544979509,0.09484716756676115,0.0461121272054789
KLF5,75,0.023904443602452526,0.15461061930686562,0.07275717530206754,0.07760731441454745
KLF8,100,0.011462862165029957,0.10706475687652757,0.1687164035113404,0.1191167771347108
KLF15,75,0.016038333124554587,0.1266425407379155,0.0785711140918958,0.07290636285193494
KLF16,100,0.014358044493084855,0.11982505786806387,0.058738564944903295,0.06476333688355904
LBX1,100,0.04641871690395031,0.21545003342759153,0.0451471767213684,0.045622695266696996
LHX2,100,0.012656333939575054,0.11250037306415946,0.042151689134845335,0.046979979329278304
LHX4,50,0.015474304222491842,0.12439575644889114,0.026445922469356897,0.027162047115893373
LHX6,100,0.016058211957409096,0.12672100045931256,0.032698459748011256,0.027954918467775435
LHX9,75,0.03488862382589354,0.1867849668091454,0.013990305744414153,0.005038607286700014
LYL1,75,0.02182973271807776,0.1477488839825119,0.04206658063390687,0.02870337625426516
MBD4,100,0.017677807010721684,0.13295791443431146,0.030905208237675723,0.024567946952422714
MECOM,75,0.04647882094403426,0.21558947317537158,-0.0018571799142417602,-0.002860657212288708
MESP1,75,0.008978945333561155,0.0947572969937469,0.028759070239232538,0.016859794353584055
MKX,100,0.018921167638952217,0.13755423526359417,0.07595847669442395,0.07372672128204331
MLXIP,100,0.021371815894617535,0.14619102535592784,0.06612552605292302,0.054594061372979584
MMP3,100,0.20234332342138267,0.4498258812267061,-0.007279584840371271,0.005626353213071265
MNX1,75,0.027826389240284306,0.16681243730694756,0.08482200055842148,0.08475764172367178
MXI1,100,0.03402721497720771,0.18446467135255928,0.22786376324615998,0.15251769001033
