TF,k,MSE,RMSE,Pearson,Spearman
GATA2,100,0.07762968475036963,0.27862104147097294,0.08087897363183899,0.06272518411448555
GATA3,100,0.020802595849931722,0.14423105022820754,0.1314701584060986,0.14017699418146531
GATA4,75,0.04516943879792139,0.2125310302001131,0.0816926740410559,0.07966262502880908
GATA6,100,0.05388297955775022,0.23212707631327764,0.0984917477970679,0.09891724637092543
GFI1,50,0.019552563066224892,0.13983047974681662,0.037100117891582976,0.03257859477872487
GLI1,100,0.040418306161595835,0.2010430455439726,0.0769114226121623,0.09196501416661819
GLIS3,50,0.025315512315521475,0.15910849227970666,0.0519938769521547,0.042636813861362685
GSC,100,0.03472842953426827,0.1863556533466808,0.058935038160027195,0.0672037796732968
GSX2,100,0.029720621000513973,0.17239669660557297,0.05472732162191907,0.05695429226242772
GTF2B,100,0.02627707077650048,0.16210203816269703,0.05476016946236082,0.033068875264755944
HAND1,100,0.04115784181222533,0.20287395548030637,0.05287470048807626,0.05934725170744117
HELZ2,100,0.05316591472185016,0.230577350843161,0.25093866022526856,0.21963147468504135
HES4,75,0.06642923851251166,0.2577387020075015,-0.012211719924807731,-0.019285801454151704
HES5,100,0.01023498170448851,0.10116808639333112,0.06028264370577504,0.06391939954940008
HES7,100,0.11947641694118256,0.3456536083150045,0.11602520666585432,0.12824084763450463
HHEX,100,0.04292765615439769,0.20718990360149717,0.05724165375496446,0.0382541514155106
HIC1,100,0.01812493890293423,0.13462889326936558,0.05167983063909357,0.03783776121698419
HIVEP1,50,0.022438381798098445,0.14979446517845194,0.08726730688288106,0.08342830419744367
HMGA1,75,0.037005013133390885,0.1923668711950966,0.033476052267129415,0.035793404741261435
HMGN2,100,0.030937907076394433,0.17589174817595746,0.06930485097564401,0.07871091052222365
HMX3,100,0.033148719126755335,0.18206789702403697,0.01697718349142307,0.02423903163970618
HNF1B,100,0.09407420542071854,0.3067151861592747,0.028137705947215978,0.03232363784527816
HNRNPAB,100,0.21303973964233153,0.46156228143375355,0.02734779972671299,0.032427755248081794
HOXA13,75,0.08240392559501768,0.2870608395358337,0.043535545668321136,0.04932877566991477
HOXC9,100,0.0395799482700001,0.1989470991746301,-0.00989854672897975,-0.012172394650520727
HOXC13,100,0.07115049261936021,0.2667404967742248,0.021545145524183556,0.01450464362476479
IFI16,100,0.020304204890203705,0.142492823995469,0.1291354458520737,0.1425548928519798
